feed_date,region,family,selected_count
2026-09-07,Scotland West - Lanarkshire,support_worker,0
2026-09-07,Scotland West - Lanarkshire,customer_sales,0
2026-09-07,Scotland West - Lanarkshire,legal_assistant_paralegal,0
2026-09-07,Scotland West - Lanarkshire,marketing,0
2026-09-07,Scotland West - Lanarkshire,finance_accounts,1
2026-09-07,Scotland West - Lanarkshire,hr_recruitment,0
2026-09-07,Scotland West - Lanarkshire,customer_service_contact_centre,0
2026-09-07,Scotland West - Renfrewshire & Inverclyde,service_admin,1
2026-09-07,Scotland West - Renfrewshire & Inverclyde,support_worker,0
2026-09-07,Scotland West - Renfrewshire & Inverclyde,customer_sales,1
2026-09-07,Scotland West - Renfrewshire & Inverclyde,legal_assistant_paralegal,0
2026-09-07,Scotland West - Renfrewshire & Inverclyde,marketing,0
2026-09-07,Scotland West - Renfrewshire & Inverclyde,finance_accounts,0
2026-09-07,Scotland West - Renfrewshire & Inverclyde,hr_recruitment,0
2026-09-07,Scotland West - Renfrewshire & Inverclyde,customer_service_contact_centre,0
2026-09-07,Shropshire,service_admin,12
2026-09-07,Shropshire,support_worker,0
2026-09-07,Shropshire,customer_sales,1
2026-09-07,Shropshire,legal_assistant_paralegal,1
2026-09-07,Shropshire,marketing,1
2026-09-07,Shropshire,finance_accounts,2
2026-09-07,Shropshire,hr_recruitment,2
2026-09-07,Shropshire,customer_service_contact_centre,0
2026-09-07,Somerset,service_admin,12
2026-09-07,Somerset,support_worker,0
2026-09-07,Somerset,customer_sales,5
2026-09-07,Somerset,legal_assistant_paralegal,1
2026-09-07,Somerset,marketing,3
2026-09-07,Somerset,finance_accounts,0
2026-09-07,Somerset,hr_recruitment,0
2026-09-07,Somerset,customer_service_contact_centre,2
2026-09-07,Staffordshire,service_admin,14
2026-09-07,Staffordshire,support_worker,0
2026-09-07,Staffordshire,customer_sales,2
2026-09-07,Staffordshire,legal_assistant_paralegal,0
2026-09-07,Staffordshire,marketing,3
2026-09-07,Staffordshire,finance_accounts,3
2026-09-07,Staffordshire,hr_recruitment,1
2026-09-07,Staffordshire,customer_service_contact_centre,3
2026-09-07,Suffolk,service_admin,18
2026-09-07,Suffolk,support_worker,0
2026-09-07,Suffolk,customer_sales,4
2026-09-07,Suffolk,legal_assistant_paralegal,1
2026-09-07,Suffolk,marketing,1
2026-09-07,Suffolk,finance_accounts,2
2026-09-07,Suffolk,hr_recruitment,0
2026-09-07,Suffolk,customer_service_contact_centre,1
2026-09-07,Surrey,service_admin,51
2026-09-07,Surrey,support_worker,4
2026-09-07,Surrey,customer_sales,7
2026-09-07,Surrey,legal_assistant_paralegal,6
2026-09-07,Surrey,marketing,9
2026-09-07,Surrey,finance_accounts,4
2026-09-07,Surrey,hr_recruitment,3
2026-09-07,Surrey,customer_service_contact_centre,6
2026-09-07,Sussex,service_admin,30
2026-09-07,Sussex,support_worker,5
2026-09-07,Sussex,customer_sales,10
2026-09-07,Sussex,legal_assistant_paralegal,4
2026-09-07,Sussex,marketing,3
2026-09-07,Sussex,finance_accounts,2
2026-09-07,Sussex,hr_recruitment,4
